english,korean,part_of_speech,difficulty,created_at,updated_at,example_sentence,example_translation,,,,,
1,executive,"경영진, 임원",noun,easy,2025-03-21 17:45:44.000000,2025-03-21 17:45:44.000000,The executive made a tough decision to cut down on company expenses.,그 임원은 회사 비용을 줄이기 위해 어려운 결정을 내렸다.,,,,,
2,inventory,"재고, 재고 목록",noun,easy,2025-03-21 17:45:44.000000,2025-03-21 17:45:44.000000,We need to take inventory before the end of the fiscal year.,회계 연도 말 전에 재고 조사를 해야 한다.,,,,,
3,feature,"특징, 특색",noun,easy,2025-03-21 17:45:44.000000,2025-03-21 17:45:44.000000,The latest smartphone features an improved camera and longer battery life.,최신 스마트폰은 향상된 카메라와 더 긴 배터리 수명을 갖추고 있다.,,,,,
4,acknowledge,수신을 인정하다,verb,easy,2025-03-21 17:45:44.000000,2025-03-21 17:45:44.000000,He acknowledged receiving the package with a quick nod.,그는 고개를 끄덕여 소포를 받았음을 인정했다.,,,,,
5,voucher,"상품권, 바우처",noun,easy,2025-03-21 17:45:44.000000,2025-03-21 17:45:44.000000,Please present your voucher at the front desk to receive the discount.,할인을 받으시려면 프런트 데스크에 바우처를 제시해 주세요.,,,,,
6,estimate,"견적서, 평가",noun,easy,2025-03-21 17:45:44.000000,2025-03-21 17:45:44.000000,"The contractor gave us an estimate of $5,000 for the kitchen renovation.",시공업자는 주방 리모델링 비용으로 5천 달러의 견적을 제시했다.,,,,,
7,resume,재개하다,verb,easy,2025-03-21 17:45:44.000000,2025-03-21 17:45:44.000000,She plans to resume work after taking a short break.,그녀는 짧은 휴식을 취한 후 일을 재개할 계획이다.,,,,,
8,issue,"문제, 이슈",noun,easy,2025-03-21 17:45:44.000000,2025-03-21 17:45:44.000000,The manager addressed the issue during the team meeting.,매니저는 팀 회의 중 그 문제를 다루었다.,,,,,
9,property,"재산, 소유물",noun,easy,2025-03-21 17:45:44.000000,2025-03-21 17:45:44.000000,The family owns a large property in the countryside.,그 가족은 시골에 넓은 부동산을 소유하고 있다.,,,,,
10,eligible,자격이 있는,adjective,easy,2025-03-21 17:45:44.000000,2025-03-21 17:45:44.000000,You are eligible for a refund if you return the item within 30 days.,30일 이내에 물건을 반품하면 환불을 받을 자격이 있다.,,,,,
11,initiative,주도권,noun,easy,2025-03-21 17:45:44.000000,2025-03-21 17:45:44.000000,The company launched a new environmental initiative to reduce waste.,그 회사는 쓰레기를 줄이기 위한 새로운 환경 이니셔티브를 시작했다.,,,,,
12,culinary,"요리의, 음식의",adjective,easy,2025-03-21 17:45:44.000000,2025-03-21 17:45:44.000000,She enrolled in a culinary school to become a professional chef.,그녀는 전문 요리사가 되기 위해 요리 학교에 등록했다.,,,,,
13,extensive,광범위한,adjective,easy,2025-03-21 17:45:44.000000,2025-03-21 17:45:44.000000,The flood caused extensive damage to the entire neighborhood.,홍수는 인근 전체 지역에 광범위한 피해를 입혔다.,,,,,
14,deposit,"예치금, 보증금",noun,easy,2025-03-21 17:45:44.000000,2025-03-21 17:45:44.000000,You need to pay a deposit to secure your reservation.,예약을 확정하려면 보증금을 내야 한다.,,,,,
15,retail,소매,noun,easy,2025-03-21 17:45:44.000000,2025-03-21 17:45:44.000000,She works in the retail industry as a store manager.,그녀는 매장 관리자 역할로 소매업계에서 일하고 있다.,,,,,
16,affordable,가격이 알맞은,adjective,easy,2025-03-21 17:45:44.000000,2025-03-21 17:45:44.000000,This store offers stylish clothes at affordable prices.,이 가게는 저렴한 가격에 세련된 옷을 제공한다.,,,,,
17,grant,승인하다,verb,easy,2025-03-21 17:45:44.000000,2025-03-21 17:45:44.000000,The student received a grant to study abroad.,그 학생은 유학을 위한 보조금을 받았다.,,,,,
18,significantly,"상당히, 현저하게",adverb,easy,2025-03-21 17:45:44.000000,2025-03-21 17:45:44.000000,The new system has significantly improved work efficiency.,새 시스템은 업무 효율을 크게 향상시켰다.,,,,,
19,reserve,예약하다,verb,easy,2025-03-21 17:45:44.000000,2025-03-21 17:45:44.000000,I’d like to reserve a table for two at 7 PM.,오후 7시에 두 명 자리 예약하고 싶습니다.,,,,,
20,application,"신청, 지원서",noun,easy,2025-03-21 17:45:44.000000,2025-03-21 17:45:44.000000,He submitted his job application just before the deadline.,그는 마감 직전에 입사 지원서를 제출했다.,,,,,
21,address,주소,noun,easy,2025-03-21 17:45:44.000000,2025-03-21 17:45:44.000000,The speaker addressed the issue of climate change during the conference.,연설자는 회의 중 기후 변화 문제를 언급했다.,,,,,
22,suppose,추정하다,verb,easy,2025-03-21 17:45:44.000000,2025-03-21 17:45:44.000000,I suppose he forgot about the meeting again.,그는 또 회의를 잊은 것 같아.,,,,,
23,charge,요금,noun,easy,2025-03-21 17:45:44.000000,2025-03-21 17:45:44.000000,The hotel will charge you for any damage to the room.,호텔은 객실 손상에 대해 요금을 부과할 것이다.,,,,,
24,expire,기한이 만료되다,verb,easy,2025-03-21 17:45:44.000000,2025-03-21 17:45:44.000000,My passport will expire at the end of this month.,내 여권은 이번 달 말에 만료된다.,,,,,
25,refund,환불,noun,easy,2025-03-21 17:45:44.000000,2025-03-21 17:45:44.000000,You can request a refund within 14 days of purchase.,구매 후 14일 이내에 환불을 요청할 수 있습니다.,,,,,
26,promote,촉진하다,verb,easy,2025-03-21 17:45:44.000000,2025-03-21 17:45:44.000000,The company plans to promote its new product through social media.,그 회사는 SNS를 통해 신제품을 홍보할 계획이다.,,,,,
27,revenue,"수익, 수입",noun,easy,2025-03-21 17:45:44.000000,2025-03-21 17:45:44.000000,The company’s annual revenue exceeded one billion dollars.,그 회사의 연간 수익은 10억 달러를 초과했다.,,,,,
28,opportunity,기회,noun,easy,2025-03-21 17:45:44.000000,2025-03-21 17:45:44.000000,This internship is a great opportunity to gain real-world experience.,이 인턴십은 실제 경험을 쌓을 수 있는 좋은 기회이다.,,,,,
29,valid,유효한,adjective,easy,2025-03-21 17:45:44.000000,2025-03-21 17:45:44.000000,Your driver’s license is valid for another three years.,당신의 운전면허증은 앞으로 3년 더 유효합니다.,,,,,
30,confidential,"기밀의, 비밀의",adjective,easy,2025-03-21 17:45:44.000000,2025-03-21 17:45:44.000000,Please keep this information strictly confidential.,이 정보는 철저히 비밀로 유지해 주세요.,,,,,
31,figure,숫자,noun,easy,2025-03-21 17:45:44.000000,2025-03-21 17:45:44.000000,I can’t believe how quickly she regained her figure after giving birth.,그녀가 출산 후 그렇게 빨리 몸매를 회복했다니 믿을 수 없다.,,,,,
32,traffic,"교통, 차량의 흐름",noun,easy,2025-03-21 17:45:44.000000,2025-03-21 17:45:44.000000,The traffic was heavy due to the holiday weekend.,연휴 주말로 인해 교통이 혼잡했다.,,,,,
